,Animal Presence,Baker's wife,Barrington Ballet,Beckwhith's Glass,Berkshire Child ,Berkshire Coffee,Berkshire Craft,Berkshire Cupboard,Bill's Pharmacy,Byzantium,Cabinet Works,Caligari's,Captain Toss,Carr Bros HDWE,Castle St. Café,Harry Conklin,Crystal Essence,Daily Bread,decades,Diva,Dolby Florist,EverGreen,Farshaw's,Frames on Wheels,Galeria Arriba,Gans Appliance,Gatby's,Gorham & Norton,Harland Foster,Herbert's Shoes,Home Textures,Impoco's Video,Initially Yours,Inn at Green River,Jack's,Jillifers,Jodi's,Kahn's,Krol Jewelers,La Tomate,Lamplighter,Laramee Cleaners,Leatherwoods,Main st Clothing,Manhattan Pizza,Mamphis Hair,Mill River Studio,Monument Mt
Carr Bros HDWE,0,2,0,1,9,1,0,0,2,23,0,0,14,511,10,0,0,7,0,0,0,27,3,61,0,17,6,2,5,19,8,0,0,0,39,8,0,0,64,7,2,8,2,22,0,0,0,0
Castle St. Café,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry Conklin,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Essence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,45,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,5,0,2,0,0,0,0,5,0,1,2,1,3,0,0,0
Daily Bread,0,0,4,0,0,3,0,2,0,1,0,0,4,3,1,0,6,24,0,0,0,3,2,2,0,2,5,0,0,3,0,0,1,0,8,0,0,3,4,0,3,2,2,3,2,0,3,0
decades,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,16,0,18,0,0,1,0,12,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0
Diva,0,0,0,0,5,0,0,0,0,0,0,0,5,5,9,0,0,0,0,0,0,0,0,3,0,50,0,0,0,0,0,0,0,0,16,12,0,0,0,0,0,0,0,9,0,0,0,0
Dolby Florist,0,0,7,0,3,0,0,1,0,0,0,0,19,0,104,0,7,1,0,0,0,6,0,37,0,0,5,0,0,9,0,0,0,0,3,0,0,0,0,8,0,1,0,0,0,2,0,0
EverGreen,0,1,12,0,13,0,0,0,1,22,0,3,4,21,17,0,10,11,0,0,0,381,1,14,5,33,31,12,0,7,0,0,0,0,42,0,0,1,3,1,0,13,16,41,3,2,0,0
Farshaw's,0,2,0,0,28,0,0,0,0,22,0,8,3,7,16,0,9,6,0,2,0,25,10,0,0,2,12,0,21,17,21,0,6,0,12,0,0,43,0,7,0,7,0,31,4,5,0,0
Frames on Wheels,0,0,0,0,25,3,0,0,0,28,0,4,20,76,3,0,0,10,0,9,0,28,0,223,57,54,20,0,10,1,0,0,5,0,32,0,0,0,53,5,46,10,10,27,6,2,0,0
Galeria Arriba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gans Appliance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gatby's,0,0,4,0,8,3,0,0,2,21,0,0,11,15,4,15,5,4,0,0,0,29,0,16,0,16,82,0,0,10,0,0,3,0,46,0,0,16,20,12,13,12,0,10,2,0,40,0
Gorham & Norton,0,0,4,0,0,0,0,0,1,0,0,1,10,19,0,2,2,3,0,0,0,11,0,6,0,0,5,48,0,2,0,0,0,0,12,0,0,6,0,1,20,3,0,12,0,0,1,0
Harland Foster,0,0,0,10,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,62,0,0,0,34,5,0,0,0,0,1,0,0,0,0,3,15,3,8,0,0,0,0,0
Herbert's Shoes,4,3,1,0,0,1,0,0,8,5,0,0,12,6,7,0,3,3,0,8,1,12,1,0,0,5,3,0,0,17,0,1,4,0,13,9,0,0,1,5,15,4,0,1,2,0,0,0
Home Textures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Impoco's Video,0,0,3,0,9,1,0,3,0,2,0,0,9,20,6,0,0,1,0,0,0,8,0,2,0,2,11,0,0,6,0,5,0,0,22,0,0,0,0,0,2,0,0,7,2,0,0,0
Initially Yours,0,1,3,0,9,0,0,0,1,8,0,0,2,5,0,0,0,1,0,0,0,4,0,2,0,8,7,0,0,17,0,0,44,0,11,0,0,0,0,0,9,0,0,0,1,2,0,0
Inn at Green River,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack's,0,0,19,0,98,14,0,0,2,45,0,23,43,37,23,0,0,16,25,22,1,127,8,48,37,32,51,9,25,29,20,0,19,0,1322,25,0,13,65,25,17,39,45,16,17,17,6,0
Jillifers,0,0,0,0,6,0,0,0,0,2,0,0,12,0,0,0,7,0,0,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,5,3,0,0,0,0,18,5,7,17,0,0,0,0
Jodi's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kahn's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
Krol Jewelers,0,1,0,0,36,0,0,0,5,36,0,123,7,28,17,0,7,1,0,0,0,26,1,8,16,94,19,6,3,24,19,0,0,0,39,5,0,5,404,12,3,10,0,15,6,6,3,0
La Tomate,0,0,0,0,0,1,0,0,0,2,0,0,2,0,9,0,2,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,4,0,0,6,0,5,1,0,9,2,0,0,0,0
Lamplighter,0,0,0,0,0,0,0,5,0,5,0,0,0,23,3,0,0,9,0,0,0,10,0,0,0,14,10,0,0,0,5,0,1,0,58,0,0,21,0,0,114,1,11,7,0,0,0,0
Laramee Cleaners,0,0,0,0,0,0,0,0,0,0,0,14,0,4,5,0,0,2,0,0,0,0,0,26,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5,0,56,0,4,0,0,0,0
Leatherwoods,0,1,0,0,3,0,0,0,2,6,0,0,1,6,0,0,30,4,0,0,0,20,0,0,0,0,0,0,8,1,0,0,4,0,5,2,0,0,0,0,0,0,2,0,0,0,0,0
Main st Clothing,0,0,0,0,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,15,0,0,0,6,0,3,0,3,3,0,11,0,0
Manhattan Pizza,0,0,9,0,10,0,0,0,2,0,0,19,12,14,0,0,0,0,0,0,0,14,9,7,0,0,4,0,9,10,4,0,0,0,26,0,0,0,2,11,0,2,0,6,33,0,0,0
Mamphis Hair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mill River Studio,0,0,0,0,0,0,0,0,0,1,0,14,0,8,0,0,0,0,0,0,0,32,0,0,0,19,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,40,0
Monument Mt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
